,main_id,npri_id,distance_m,facility_name,facility_name_npri,similarity_partial_score,similarity_token_set
2619,NT-MAIN-6c1d6ee6,,,Ekati,,,
2620,NB-MAIN-0c5b40d8,,,Nash Creek,,,
2621,ON-MAIN-484e4fa3,,,Blind River,,,
2622,SK-MAIN-91cf5448,19397.0,77.88,Cigar Lake,Cigar Lake Operation,100.0,100.0
2640,SK-MAIN-bb89158f,1148.0,1959.46,Key Lake,Key Lake Operation,100.0,100.0
2700,SK-MAIN-d3c471e8,1149.0,238.49,McArthur River,McArthur River Operation,100.0,100.0
2721,ON-MAIN-237587f6,315.0,998.86,Port Hope,ESCO Limited,33.333333333333336,19.04761904761905
2727,ON-MAIN-4c5c1179,10153.0,17000.37,Crawford,Kidd Mine Site,18.181818181818176,9.090909090909092
2738,ON-MAIN-4c5c1179,29815.0,17807.02,Crawford,Bradshaw Gold Mine,50.0,38.46153846153846
2797,NB-MAIN-8e04eb21,,,Murray Brook,,,
2798,ON-MAIN-37e9571e,,,Thierry,,,
2799,NB-MAIN-3e7d42ac,,,Woodstock,,,
2800,NU-MAIN-eae1621e,,,Ferguson Lake,,,
2801,QC-MAIN-5ce331b8,,,Nunavik Nickel,,,
2802,BC-MAIN-eba3e309,,,Golden Crown,,,
2803,BC-MAIN-e34feb4d,20131.0,5564.64,Kemess,Kemess South Mine,100.0,100.0
2807,BC-MAIN-ed23117f,29191.0,1769.56,Mount Milligan,Mount Milligan Mine,100.0,100.0
2830,QC-MAIN-089f3c60,6217.0,8724.46,Bloom Lake,Mine de Mont-Wright,23.529411764705888,20.689655172413797
2849,QC-MAIN-089f3c60,8783.0,319.57,Bloom Lake,Mine du Lac Bloom,66.66666666666667,66.66666666666666
2960,NL-MAIN-251d6364,,,Beaver Brook,,,
2961,ON-MAIN-be399420,,,Thunder Bay North,,,
2962,QC-MAIN-3330383b,,,Eldor (Ashram),,,
2963,MB-MAIN-6fca9d6d,,,Lynn Lake,,,
2964,QC-MAIN-d4e2812a,,,Rose,,,
2965,AB-MAIN-9a0307f6,,,SBH Black Shale,,,
2966,QC-MAIN-715d4318,3653.0,17905.69,Horizon,ArcelorMittal Saint-Patrick,42.85714285714286,23.529411764705884
2968,QC-MAIN-715d4318,6165.0,1020.54,Horizon,ArcelorMittal Longueuil,42.85714285714286,33.33333333333333
2970,QC-MAIN-715d4318,3916.0,7315.77,Horizon,"Glencore Canada Corporation, CCR refinery",71.42857142857143,20.83333333333333
2991,QC-MAIN-715d4318,959.0,7881.35,Horizon,Usine de coulée continue de Montréal-Est,42.85714285714286,22.727272727272734
2995,QC-MAIN-715d4318,29094.0,16144.65,Horizon,Solumet Metal and Powder Inc,33.333333333333336,22.85714285714286
3021,NT-MAIN-94e652a5,,,Gahcho Kué,,,
3022,BC-MAIN-382acb18,,,Wicheeda,,,
3023,SK-MAIN-4aef3cb2,4866.0,12418.02,Waterbury,McClean Lake Operations,33.333333333333336,18.75
3098,SK-MAIN-95ec2625,,,Wheeler River,,,
3099,BC-MAIN-51068f3b,,,Kitsault Valley,,,
3100,AB-MAIN-7d4a0421,,,Bashaw District,,,
3101,QC-MAIN-f9e41c2a,8757.0,10002.97,Lamaque,Division Goldex,22.22222222222222,9.090909090909092
3111,QC-MAIN-f9e41c2a,30807.0,11683.1,Lamaque,Eldorado Gold (Québec) Inc.,28.57142857142857,11.764705882352942
3120,QC-MAIN-f9e41c2a,2935.0,14003.31,Lamaque,Complexe minier Kiena,30.76923076923077,21.42857142857143
3249,ON-MAIN-6664e89b,10622.0,5036.53,Battery Materials Park,SMC (Canada) Ltd.,25.806451612903224,20.51282051282051
3253,ON-MAIN-6664e89b,34014.0,58.54,Battery Materials Park,Cobalt Camp Refinery Ltd.,34.14634146341463,29.787234042553195
3282,QC-MAIN-5398dfac,2100.0,13452.99,Elkem Chicoutimi,La Mine Niobec,33.333333333333336,20.0
3321,QC-MAIN-5398dfac,31260.0,4839.88,Elkem Chicoutimi,3M Chicoutimi,91.66666666666666,86.95652173913044
3322,QC-MAIN-5398dfac,6344.0,57.37,Elkem Chicoutimi,Elkem Métal Chicoutimi,85.71428571428572,100.0
3328,QC-MAIN-5398dfac,3060.0,12494.66,Elkem Chicoutimi,Usine Laterrière,28.57142857142857,25.0
3329,QC-MAIN-5398dfac,3062.0,19316.19,Elkem Chicoutimi,Usine Grande-Baie,20.68965517241379,18.181818181818187
3330,QC-MAIN-5398dfac,3406.0,2679.57,Elkem Chicoutimi,Usine Arvida,28.57142857142857,21.42857142857143
3331,QC-MAIN-5398dfac,27853.0,2852.82,Elkem Chicoutimi,Aluminerie Arvida - Centre technologique AP60,38.095238095238095,19.67213114754098
3351,QC-MAIN-5398dfac,2978.0,3631.8,Elkem Chicoutimi,Usine Vaudreuil,28.57142857142857,25.80645161290323
3357,QC-MAIN-5398dfac,8706.0,374.03,Elkem Chicoutimi,Usine Dubuc,28.57142857142857,22.22222222222223
3435,QC-MAIN-5398dfac,29088.0,321.69,Elkem Chicoutimi,Scepter Aluminium Saguenay,34.48275862068966,23.80952380952381
3561,QC-MAIN-2cf66e65,3598.0,5115.35,Becancour Plant,Usine de Bécancour,66.66666666666667,60.60606060606061
3563,QC-MAIN-2cf66e65,1071.0,6619.01,Becancour Plant,Aluminerie de Bécancour inc.,68.96551724137932,46.51162790697674
3588,QC-MAIN-2cf66e65,8807.0,5371.8,Becancour Plant,Quebec Silicon LP,42.85714285714286,31.25
3626,ON-MAIN-7f050560,2710.0,1436.66,Red Lake,Red Lake Operation,100.0,100.0
3637,ON-MAIN-7f050560,33819.0,15816.44,Red Lake,Red Lake Madsen Mine,100.0,100.0
3683,SK-MAIN-26b9aaf3,2740.0,511.43,EVRAZ Regina,EVRAZ Inc NA Canada - Regina Facilities,70.0,100.0
3748,QC-MAIN-c1cc9f7c,3598.0,731.47,Becancour Silicon,Usine de Bécancour,61.53846153846154,62.85714285714285
3750,QC-MAIN-c1cc9f7c,1071.0,1463.75,Becancour Silicon,Aluminerie de Bécancour inc.,70.96774193548387,48.888888888888886
3775,QC-MAIN-c1cc9f7c,8807.0,77.09,Becancour Silicon,Quebec Silicon LP,66.66666666666667,58.8235294117647
3813,NL-MAIN-c139de6d,27063.0,2191.34,Ming,Ming Copper-Gold Mine,100.0,100.0
3828,NL-MAIN-842ba1b4,8015.0,378.05,Nugget Pond,Nugget Pond Facility,100.0,100.0
3843,YT-MAIN-ca488f19,,,Macmillan Pass,,,
3844,YT-MAIN-70d629b4,,,Mactung,,,
3845,BC-MAIN-efff21d3,,,Deer Horn,,,
3846,SK-MAIN-0684a5d8,,,Patterson Lake South,,,
3847,MB-MAIN-f7fde5b4,,,Minago,,,
3848,QC-MAIN-ae473a4e,,,Lac Knife,,,
3849,SK-MAIN-7a11ae49,,,McIlvenna Bay,,,
3850,AB-MAIN-ca9625ce,,,Fortune Minerals Refinery,,,
3851,NT-MAIN-b7cdf82c,,,NICO,,,
3852,ON-MAIN-d47616e5,,,Martison,,,
3853,BC-MAIN-e1641dfb,,,Decar,,,
3854,ON-MAIN-c06904f0,,,Pakeagama,,,
3855,ON-MAIN-64bbe7e6,,,Marathon,,,
3856,QC-MAIN-22426144,6165.0,10419.58,REE Recycling Facility (Saint-Bruno),ArcelorMittal Longueuil,33.333333333333336,27.11864406779661
3858,QC-MAIN-22426144,3916.0,17296.53,REE Recycling Facility (Saint-Bruno),"Glencore Canada Corporation, CCR refinery",28.07017543859649,28.57142857142857
3879,QC-MAIN-22426144,3812.0,17500.59,REE Recycling Facility (Saint-Bruno),Sivaco Québec,30.76923076923077,16.326530612244895
3882,QC-MAIN-22426144,449.0,17449.7,REE Recycling Facility (Saint-Bruno),INFASCO,14.28571428571429,4.6511627906976685
3885,QC-MAIN-22426144,959.0,17934.37,REE Recycling Facility (Saint-Bruno),Usine de coulée continue de Montréal-Est,33.89830508474576,30.13698630136986
3916,MB-MAIN-0d5c2cae,1651.0,806.13,Selkirk Division,"Gerdau Ameristeel Corporation, Manitoba Mill",37.5,26.66666666666667
3956,ON-MAIN-92cdea80,3824.0,674.83,Whitby Division,"Gerdau Ameristeel Corporation, Whitby Mill",61.53846153846154,57.142857142857146
3970,ON-MAIN-92cdea80,3282.0,12500.82,Whitby Division,Pickering,42.85714285714286,25.0
4006,ON-MAIN-bddeaef0,4169.0,155.87,Cambridge Mill,"Gerdau Ameristeel Corporation, Cambridge Mill",100.0,100.0
4008,ON-MAIN-bddeaef0,151.0,14385.39,Cambridge Mill,CANADA ALLOY CASTINGS,19.047619047619047,11.42857142857143
4011,MB-MAIN-b4ca1426,1651.0,545.95,Manitoba Mill,"Gerdau Ameristeel Corporation, Manitoba Mill",100.0,100.0
4051,ON-MAIN-21b6ab35,3824.0,251.31,Whitby Mill,"Gerdau Ameristeel Corporation, Whitby Mill",100.0,100.0
4065,ON-MAIN-21b6ab35,3282.0,12793.91,Whitby Mill,Pickering,22.22222222222222,20.0
4101,QC-MAIN-de3d8b7b,2938.0,71.45,Canadian Electrolytic Zinc Limited (CEZinc),SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD,18.75,15.053763440860209
4149,QC-MAIN-529c96b4,6165.0,7997.8,CCR,ArcelorMittal Longueuil,0.0,0.0
4151,QC-MAIN-529c96b4,3916.0,556.46,CCR,"Glencore Canada Corporation, CCR refinery",100.0,100.0
4172,QC-MAIN-529c96b4,6279.0,17755.97,CCR,METRA ALUMINIUM INC.,40.0,17.391304347826093
4173,QC-MAIN-529c96b4,959.0,210.88,CCR,Usine de coulée continue de Montréal-Est,0.0,0.0
4177,QC-MAIN-529c96b4,29094.0,12072.95,CCR,Solumet Metal and Powder Inc,0.0,0.0
4204,ON-MAIN-206041d1,11154.0,5359.27,Fraser,McCreedy West Mine,36.36363636363637,16.66666666666667
4216,ON-MAIN-206041d1,11608.0,2815.75,Fraser,Levack Mine,28.57142857142857,23.529411764705884
4223,ON-MAIN-206041d1,1233.0,1234.15,Fraser,Sudbury Operations Mines Mill - Onaping Area,44.44444444444444,20.0
4244,ON-MAIN-206041d1,10199.0,4011.11,Fraser,Coleman Mine,28.57142857142857,22.22222222222223
4333,QC-MAIN-abb3e1c7,3653.0,5737.39,General Smelting Company of Canada,ArcelorMittal Saint-Patrick,39.02439024390244,26.229508196721312
4335,QC-MAIN-abb3e1c7,6279.0,15052.57,General Smelting Company of Canada,METRA ALUMINIUM INC.,20.0,11.111111111111114
4336,QC-MAIN-abb3e1c7,4402.0,8172.39,General Smelting Company of Canada,VSC,33.333333333333336,5.405405405405404
4350,QC-MAIN-30c1828c,3623.0,850.33,Horne,Glencore Canada Corporation - Fonderie Horne,100.0,100.0
4430,ON-MAIN-f8313ebd,10153.0,267.32,Kidd Creek,Kidd Mine Site,66.66666666666667,58.333333333333336
4441,ON-MAIN-f8313ebd,29815.0,15463.07,Kidd Creek,Bradshaw Gold Mine,37.5,21.42857142857143
4500,ON-MAIN-fcb287a4,11588.0,31.52,Nickel Rim South,Nickel Rim South Mine,100.0,100.0
4517,ON-MAIN-fcb287a4,10202.0,11231.51,Nickel Rim South,Garson Mine,25.0,14.81481481481481
4579,ON-MAIN-fcb287a4,1236.0,9053.52,Nickel Rim South,Sudbury Integrated Nickel Operations Smelter,56.25,54.54545454545455
4686,ON-MAIN-319e04a8,11154.0,1434.9,Onaping Depth,McCreedy West Mine,37.5,25.80645161290323
4698,ON-MAIN-319e04a8,11608.0,3181.25,Onaping Depth,Levack Mine,38.095238095238095,33.33333333333333
4705,ON-MAIN-319e04a8,1233.0,5713.75,Onaping Depth,Sudbury Operations Mines Mill - Onaping Area,72.0,70.0
4726,ON-MAIN-319e04a8,10199.0,1288.99,Onaping Depth,Coleman Mine,36.36363636363637,32.0
4815,QC-MAIN-a97821c0,27059.0,18084.43,Raglan,Projet Nunavik Nickel,28.57142857142857,14.81481481481481
4822,QC-MAIN-a97821c0,5448.0,633.39,Raglan,Mine Raglan,100.0,100.0
4913,ON-MAIN-ed85ac94,11154.0,5889.07,Strathcona,McCreedy West Mine,25.0,14.285714285714292
4925,ON-MAIN-ed85ac94,11608.0,3019.46,Strathcona,Levack Mine,33.333333333333336,28.57142857142857
4932,ON-MAIN-ed85ac94,1233.0,91.11,Strathcona,Sudbury Operations Mines Mill - Onaping Area,50.0,18.51851851851852
4953,ON-MAIN-ed85ac94,10199.0,4610.35,Strathcona,Coleman Mine,25.0,18.181818181818187
5042,ON-MAIN-40ce0593,11588.0,9173.57,Sudbury,Nickel Rim South Mine,28.57142857142857,14.285714285714292
5059,ON-MAIN-40ce0593,10202.0,4536.16,Sudbury,Garson Mine,20.0,11.111111111111114
5085,ON-MAIN-40ce0593,10205.0,16123.24,Sudbury,Frood-Stobie Mine,28.57142857142857,16.66666666666667
5127,ON-MAIN-40ce0593,1236.0,402.62,Sudbury,Sudbury Integrated Nickel Operations Smelter,100.0,100.0
5234,BC-MAIN-4724f4ba,,,Elk,,,
5235,YT-MAIN-956d050a,,,Carmacks,,,
5236,ON-MAIN-97ee890f,,,Seymour Lake,,,
5237,MB-MAIN-27a90834,,,Makwa Mayville,,,
5238,SK-MAIN-fbe28fef,,,Kindersley Lithium,,,
5239,BC-MAIN-b031959a,,,Turnagain,,,
5240,QC-MAIN-b86f7d07,,,Casa Berardi,,,
5241,YT-MAIN-44857446,,,Keno Hill Silver District,,,
5242,YT-MAIN-c3105f43,,,Rackla Gold,,,
5243,ON-MAIN-fc6f1a44,7063.0,8643.7,Ivaco Rolling Mills,"Montebello Packaging, A Division of Great Pacific Enterprises LP",42.10526315789473,28.91566265060241
5244,ON-MAIN-fc6f1a44,1520.0,164.07,Ivaco Rolling Mills,Ivaco Rolling Mills,100.0,100.0
5274,MB-MAIN-e2e67f8f,3411.0,12013.65,1901,HBMS Snow Lake Mill,0.0,0.0
5275,MB-MAIN-e2e67f8f,5219.0,7767.5,1901,New Britannia Mine,0.0,0.0
5276,MB-MAIN-e2e67f8f,21543.0,2943.38,1901,HBMS Chisel Lake Mine,0.0,0.0
5318,BC-MAIN-599152a0,30798.0,2324.24,Copper Mountain,Copper Mountain Mine,100.0,100.0
5368,MB-MAIN-be5b3dc8,3411.0,12025.13,Lalor Lake,HBMS Snow Lake Mill,60.0,57.142857142857146
5369,MB-MAIN-be5b3dc8,5219.0,7288.82,Lalor Lake,New Britannia Mine,37.5,21.42857142857143
5370,MB-MAIN-be5b3dc8,21543.0,4093.57,Lalor Lake,HBMS Chisel Lake Mine,60.0,57.142857142857146
5412,MB-MAIN-da0b5c3d,3411.0,6058.83,New Britannia,HBMS Snow Lake Mill,33.333333333333336,31.25
5413,MB-MAIN-da0b5c3d,5219.0,75.9,New Britannia,New Britannia Mine,100.0,100.0
5414,MB-MAIN-da0b5c3d,21543.0,8631.75,New Britannia,HBMS Chisel Lake Mine,42.10526315789473,23.529411764705884
5456,MB-MAIN-c0684566,,,Rail,,,
5457,MB-MAIN-0898e255,3411.0,139.67,Stall Lake,HBMS Snow Lake Mill,60.0,57.142857142857146
5458,MB-MAIN-0898e255,5219.0,5859.79,Stall Lake,New Britannia Mine,37.5,21.42857142857143
5459,MB-MAIN-0898e255,21543.0,11413.21,Stall Lake,HBMS Chisel Lake Mine,60.0,57.142857142857146
5501,MB-MAIN-854abe09,,,Talbot,,,
5502,MB-MAIN-1a82a1b7,,,Tower,,,
5503,MB-MAIN-b5b81ee3,3411.0,19311.13,Wim,HBMS Snow Lake Mill,33.333333333333336,9.090909090909092
5504,MB-MAIN-b5b81ee3,5219.0,14859.02,Wim,New Britannia Mine,33.333333333333336,9.523809523809518
5538,QC-MAIN-02884fb5,99.0,4519.19,Westwood-Doyon,Division Laronde,30.76923076923077,26.66666666666667
5556,QC-MAIN-02884fb5,1608.0,1863.69,Westwood-Doyon,La mine Doyon,55.55555555555556,37.03703703703704
5624,ON-MAIN-a3c56a83,7369.0,1179.22,Lac des Iles,Impala Canada Ltd.,33.333333333333336,33.33333333333333
5700,BC-MAIN-3f490561,5102.0,674.15,Mount Polley,Mount Polley Mine,100.0,100.0
5758,QC-MAIN-586679b9,,,Crater Lake,,,
5759,NL-MAIN-dd723db4,5013.0,9576.21,Carol Lake,Carol Project,75.0,66.66666666666666
5791,NL-MAIN-dd723db4,5460.0,14598.45,Carol Lake,Wabush Mines - Scully,30.000000000000004,19.354838709677423
5877,ON-MAIN-7001a391,11154.0,90.16,McCreedy West,McCreedy West Mine,100.0,100.0
5889,ON-MAIN-7001a391,11608.0,3003.27,McCreedy West,Levack Mine,31.57894736842105,25.0
5896,ON-MAIN-7001a391,1233.0,5956.98,McCreedy West,Sudbury Operations Mines Mill - Onaping Area,38.46153846153846,21.05263157894737
5917,ON-MAIN-7001a391,10199.0,1334.05,McCreedy West,Coleman Mine,34.78260869565217,32.0
6006,ON-MAIN-9a34108c,32933.0,411.75,Victoria,Victoria Advanced Exploration Project,100.0,100.0
6009,ON-MAIN-9a34108c,11878.0,6787.28,Victoria,Totten Mine,25.0,21.05263157894737
6010,ON-MAIN-9a34108c,10201.0,16619.08,Victoria,Creighton Mine,37.5,36.36363636363637
6052,ON-MAIN-9a34108c,11877.0,3089.98,Victoria,Ellen Pit,40.0,23.529411764705884
6102,ON-MAIN-6bd6cc80,4197.0,1283.01,Kingston Operation,Kingston Works,78.26086956521739,72.72727272727272
6104,MB-MAIN-a832fb0a,3411.0,13322.55,East Wekusko - Snow Lake,HBMS Snow Lake Mill,68.96551724137932,64.28571428571428
6105,MB-MAIN-a832fb0a,5219.0,19318.93,East Wekusko - Snow Lake,New Britannia Mine,33.333333333333336,28.57142857142857
6139,BC-MAIN-12730593,,,Kutcho,,,
6140,ON-MAIN-575c5e66,4197.0,2078.55,Ontario Spoke,Kingston Works,48.0,44.44444444444444
6142,ON-MAIN-6b998583,5874.0,8942.57,Markham lithium reprocessing facility,Richmond Hill,40.0,32.0
6144,ON-MAIN-6b998583,1480.0,19190.21,Markham lithium reprocessing facility,North York Division,36.8421052631579,25.0
6150,ON-MAIN-6b998583,455.0,19093.39,Markham lithium reprocessing facility,INGOT METAL COMPANY LIMITED,13.953488372093029,12.5
6156,ON-MAIN-6b998583,10613.0,18229.33,Markham lithium reprocessing facility,JOSEPH ROBERTSON FOUNDRIES LIMITED,9.523809523809524,8.450704225352112
